doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cg_0154_9b6b6d9d,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0154.pdf,DNV-CG-0154.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0155_c0951e20,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0155.pdf,DNV-CG-0155.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0156_899de40c,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0156.pdf,DNV-CG-0156.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0157_fe7b5d5c,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0157.pdf,DNV-CG-0157.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0158_2fc60bcb,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0158.pdf,DNV-CG-0158.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0162_5f6cf5bc,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0162.pdf,DNV-CG-0162.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0169_46751096,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0169.pdf,DNV-CG-0169.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0170_4e8affc9,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0170.pdf,DNV-CG-0170.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0172_22ba4c79,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0172.pdf,DNV-CG-0172.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0182_818261f7,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0182.pdf,DNV-CG-0182.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0197_4c29d4d7,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0197.pdf,DNV-CG-0197.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0214_6e5c37e8,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0214.pdf,DNV-CG-0214.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0240_9aa073dd,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0240.pdf,DNV-CG-0240.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0264_00e0cc67,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0264.pdf,DNV-CG-0264.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0283_2f72d342,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0283.pdf,DNV-CG-0283.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0285_d96a7e6d,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0285.pdf,DNV-CG-0285.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0287_03b17d31,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0287.pdf,DNV-CG-0287.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0288_2efb58a4,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0288.pdf,DNV-CG-0288.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0308_68142d53,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0308.pdf,DNV-CG-0308.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0313_ad403bd8,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0313.pdf,DNV-CG-0313.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0325_ce1055a5,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0325.pdf,DNV-CG-0325.pdf,pending,3
